,identifier,timestep,area,Species
173,6,16,305.9999999999967,CF
174,7,16,305.9999999999967,CF
175,8,16,305.99999999999716,CF
176,9,16,305.99999999999716,CF
177,10,16,305.9999999999996,CF
178,11,16,305.9999999999996,CF
179,12,16,306.0,CF
180,13,16,306.0,CF
181,14,16,306.0000000000002,CF
182,15,16,306.0000000000002,CF
183,16,16,306.0000000000009,CF
184,17,16,306.0000000000009,CF
185,18,16,305.9999999999999,CF
186,19,16,305.9999999999999,CF
187,20,16,305.9999999999989,CF
188,1,17,6752.6,MF
189,2,17,26295.0,BL
190,3,17,19246.000000000007,CF
191,4,17,19858.000000000007,CF
192,5,17,305.99999999999756,CF
193,6,17,305.9999999999967,CF
194,7,17,305.9999999999967,CF
195,8,17,305.99999999999716,CF
196,9,17,305.99999999999716,CF
197,10,17,305.9999999999996,CF
198,11,17,305.9999999999996,CF
199,12,17,306.0,CF
200,13,17,306.0,CF
201,14,17,306.0000000000002,CF
202,15,17,306.0000000000002,CF
203,16,17,306.0000000000009,CF
204,17,17,306.0000000000009,CF
205,18,17,305.9999999999999,CF
206,19,17,305.9999999999999,CF
207,20,17,305.9999999999989,CF
208,21,17,306.0000000000003,CF
209,1,18,6752.6,MF
210,2,18,26295.0,BL
211,3,18,19246.000000000007,CF
212,4,18,19858.000000000007,CF
213,5,18,305.99999999999756,CF
214,6,18,305.9999999999967,CF
215,7,18,305.9999999999967,CF
216,8,18,305.99999999999716,CF
217,9,18,305.99999999999716,CF
218,10,18,305.9999999999996,CF
219,11,18,305.9999999999996,CF
220,12,18,306.0,CF
221,13,18,306.0,CF
222,14,18,306.0000000000002,CF
223,15,18,306.0000000000002,CF
224,16,18,306.0000000000009,CF
225,17,18,306.0000000000009,CF
226,18,18,305.9999999999999,CF
227,19,18,305.9999999999999,CF
228,20,18,305.9999999999989,CF
229,21,18,306.0000000000003,CF
230,1,19,6752.6,MF
231,2,19,26295.0,BL
232,3,19,19246.000000000007,CF
233,4,19,19858.000000000007,CF
234,5,19,305.99999999999756,CF
235,6,19,305.9999999999967,CF
236,7,19,305.9999999999967,CF
237,8,19,305.99999999999716,CF
238,9,19,305.99999999999716,CF
239,10,19,305.9999999999996,CF
240,11,19,305.9999999999996,CF
241,12,19,306.0,CF
242,13,19,306.0,CF
243,14,19,306.0000000000002,CF
